source_id,faction_zh,name_zh,name_en,reason
2747,星际战士,寂灭者小队,,missing_english_lookup
2748,星际战士,地狱轰击者小队,,missing_english_lookup
2749,星际战士,肃卫老兵小队,,missing_english_lookup
2750,星际战士,剑卫老兵小队,,missing_english_lookup
2751,星际战士,跳跃背包突击仲裁者小队,,missing_english_lookup
2752,星际战士,连队英雄,,missing_english_lookup
2753,星际战士,终结者旗手,,missing_english_lookup
2754,星际战士,旗手,,missing_english_lookup
2755,星际战士,药剂师,,missing_english_lookup
2756,星际战士,技术军士,,missing_english_lookup
2757,星际战士,摩托牧师,,missing_english_lookup
2758,星际战士,终结者牧师,,missing_english_lookup
2759,星际战士,牧师,,missing_english_lookup
2760,星际战士,智库,,missing_english_lookup
2761,星际战士,劫掠者副官,,missing_english_lookup
2762,星际战士,副官,,missing_english_lookup
2763,星际战士,跳跃背包连长,,missing_english_lookup
2764,星际战士,先锋军连长,,missing_english_lookup
2765,星际战士,连长,,missing_english_lookup
2766,星际战士,重装连长,,missing_english_lookup
2767,星际战士,仲裁者小队,,missing_english_lookup
2904,星际战士,帝国星际战士【传奇】,,missing_english_lookup
2905,星际战士,跳跃背包智库【传奇】,,missing_english_lookup
2906,星际战士,阿斯塔特奴工【传奇】,,missing_english_lookup
2907,星际战士,铁卫无畏机甲【传奇】,,missing_english_lookup
2909,星际战士,神圣牧师无畏机甲【传奇】,,missing_english_lookup
2910,星际战士,神圣无畏机甲【传奇】,,missing_english_lookup
2911,星际战士,德雷都无畏机甲【传奇】,,missing_english_lookup
2916,星际战士,圣物蔑视者无畏机甲【传奇】,,missing_english_lookup
2917,星际战士,利维坦无畏机甲【传奇】,,missing_english_lookup
2918,星际战士,奎托斯【传奇】,,missing_english_lookup
2919,星际战士,迪莫斯型猎食者【传奇】,,missing_english_lookup
2925,星际战士,龙卷风型兰德速攻艇【传奇】,,missing_english_lookup
2926,星际战士,风暴型兰德速攻艇【传奇】,,missing_english_lookup
2927,星际战士,台风型兰德速攻艇【传奇】,,missing_english_lookup
2990,星际战士,乳齿象【传奇】,,missing_english_lookup
2991,星际战士,西卡然战斗坦克【传奇】,,missing_english_lookup
1527,浴血者,叛军首领,,missing_english_lookup
1094,闪耀军团,万变魔君,LORD OF CHANGE,wrong_identity
2873,黑暗天使,鸦翼锐爪副长【传奇】,,missing_english_lookup
2874,黑暗天使,死翼打击副长【传奇】,,missing_english_lookup
